# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.6761661571351618,2.474080245932631,2.7674581933191607,-0.06172905786572784,2.0,0.0,-0.0037362415334227343,0.0,-0.4286239927091713,0.0
 0.6811464609294522,2.4840408473336555,2.767447090904938,-0.06386373556294121,2.0,0.0,-0.0038136125592572916,0.0,-0.43749399500934816,0.0
 0.6861156968683209,2.493979312610103,2.767435636062257,-0.0660377464459809,2.0,0.0,-0.0038913086355617742,0.0,-0.4464017359235431,0.0
 0.6910740196999815,2.50389595123769,2.767423823284423,-0.06825115036530355,2.0,0.0,-0.003969321812649302,0.0,-0.4553452420509914,0.0
 0.6960215841729946,2.513791072692132,2.767411647064741,-0.0705040003078306,2.0,0.0,-0.004047629776708401,0.0,-0.4643224976402194,0.0
 0.7009585450362741,2.523664986449147,2.7673991018965167,-0.07279634230662052,2.0,0.0,-0.004126217786140459,0.0,-0.47333144477026,0.0
 0.7058850570390911,2.5335180019844503,2.7673861822730554,-0.07512821535059193,2.0,0.0,-0.004205067797378264,0.0,-0.48236998397809994,0.0
 0.7108012749310813,2.5433504287737594,2.7673728826876625,-0.07749965129638407,2.0,0.0,-0.004284158656760465,0.0,-0.49143597488321467,0.0
 0.7157073534622487,2.5531625762927903,2.767359197633643,-0.07991067478220194,2.0,0.0,-0.004363476407017667,0.0,-0.5005272374418221,0.0
 0.7206034473829728,2.56295475401726,2.7673451216043023,-0.08236130314659768,2.0,0.0,-0.004442993824663897,0.0,-0.5096415496326974,0.0
 0.7254897114440125,2.5727272714228855,2.7673306490929463,-0.08485154633458053,2.0,0.0,-0.0045226942715073035,0.0,-0.5187766560493382,0.0
 0.7303663003965121,2.5824804379853825,2.76731577459288,-0.08738140684428539,2.0,0.0,-0.00460256129010016,0.0,-0.5279302589114973,0.0
 0.7352333689920064,2.5922145631804683,2.7673004925974083,-0.08995087962804474,2.0,0.0,-0.004682568916781389,0.0,-0.5371000240008719,0.0
 0.7400910719824257,2.601929956483859,2.767284797599837,-0.09255995202078807,2.0,0.0,-0.004762701323541642,0.0,-0.546283584039437,0.0
 0.7449395641201013,2.611626927371271,2.7672686840934713,-0.09520860368294451,2.0,0.0,-0.004842933339205953,0.0,-0.5554785346785863,0.0
