# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.25,4.4,-179.9493029612212,1.0,0.0,0.31574662622784566,0.0,0.0,0.0
 0.006009965038082261,2.243935857816163,4.399994634262169,-179.9493029612212,1.0180298951142468,3.000000000000002,0.31574662622784566,0.0,15.371873118049571,0.0
 0.012993813620965081,2.2381316787860643,4.399978623245267,-179.84194812692945,0.644148499686113,-53.535151999787715,0.35656394389097884,0.0,13.189141617422951,0.0
 0.02178516256873963,2.232584739704996,4.399952096244181,-179.7259977806491,0.6177744528427893,-3.0000000000000036,0.4045305062350276,0.0,14.351278823885583,0.0
 0.030538321137966208,2.2272923173682506,4.3999151825538,-179.60037876143244,0.5915149771351096,-2.9999999999999982,0.4612604644482516,0.0,15.668926136130183,0.0
 0.039252831762937604,2.2222516885711197,4.399868011469009,-179.4638317381372,0.5653714452601953,-3.000000000000007,0.5288222130906143,0.0,17.17080322378423,0.0
 0.04792817885372093,2.217460130108897,4.399810712284698,-179.31486906034334,0.5393454039878454,-3.0,0.6098939921397044,0.0,18.892546648322742,0.0
 0.05656377638773502,2.212914918776872,4.399743414295753,-179.15172063109586,0.513438611385803,-3.000000000000005,0.7079832680267479,0.0,20.87880436635995,0.0
 0.06515895210524558,2.208613331370339,4.3996662467970635,-178.97226363879548,0.4876530842332714,-2.9999999999999933,0.8277407803948382,0.0,23.1861080734079,0.0
 0.07371292716923805,2.20455264468459,4.399579339083514,-178.7739302485045,0.461991159041294,-3.0,0.9754176510765893,0.0,25.886871350577557,0.0
 0.08222478969125052,2.200730135514916,4.399482820449995,-178.55358475844335,0.4364555714752566,-3.0,1.1595430006690783,0.0,29.075047122951737,0.0
 0.09069345984794984,2.1971430806566103,4.399376820191391,-178.30735777456857,0.4110495610051586,-3.000000000000005,1.3919488898013275,0.0,32.87427920175005,0.0
 0.09911764329743053,2.1937887569049646,4.399261467602592,-178.03041881580359,0.38577701065671655,-2.9999999999999982,1.6893556440234558,0.0,37.44988649498025,0.0
 0.10749576805124175,2.1906644410552714,4.399136891978485,-177.7166589947326,0.3606426363952829,-3.0,2.0758857623373097,0.0,43.02688215482338,0.0
 0.11582589753639119,2.187767409902823,4.399003222613956,-177.35823949504064,0.33565224793983456,-3.0,2.5871631985011025,0.0,49.91775998097256,0.0
 0.12410560872255078,2.185094940242911,4.3988605888038945,-176.94493485933816,0.3108131143813558,-3.0000000000000036,3.2772119180776356,0.0,58.566585198472694,0.0
 0.132331817897467,2.1826443088708287,4.398709119843186,-176.46315387883493,0.28613448685660714,-2.9999999999999933,4.230489293803113,0.0,69.62127573992342,0.0
 0.14050052615995037,2.180412792581867,4.39854894502672,-175.8944379884536,0.261628362069157,-3.0000000000000036,5.58375869090118,0.0,84.05663004527256,0.0
 0.14860643868259374,2.1783976681713186,4.398380193649382,-175.21308229835844,0.23731062450122692,-3.0,7.56778951938044,0.0,103.39306006081088,0.0
 0.1566423801432702,2.1765962124344758,4.398202995006062,-174.38222172026954,0.21320280011919754,-3.0,10.591430784897407,0.0,130.10590451260626,0.0
 0.164598371921158,2.1750057021666307,4.398017478391646,-173.34710021371262,0.18933482478553412,-3.0,15.422742566551184,0.0,168.43935481556235,0.0
 0.1724601337445646,2.1736234141630755,4.397823773101021,-172.0228701244644,0.1657495393153144,-2.9999999999999964,23.61163452548472,0.0,226.14730410178743,0.0
 0.1802065908602099,2.172446625219102,4.3976220084290745,-170.2710297314211,0.14251016796837845,-3.0,38.5766564664377,0.0,318.5588114900869,0.0
 0.1878056944013805,2.1714726121300036,4.397412313670695,-167.85026833895566,0.11971285734486661,-3.0000000000000036,68.75402081539282,0.0,479.12097541823255,0.0
 0.1952077924161739,2.170698651691071,4.39719481812077,-164.3037679179665,0.09750656330048645,-3.0000000000000018,138.142189386905,0.0,790.0524935991137,0.0
 0.20233868426786247,2.1701220206975975,4.396969651074186,-158.66998902895435,0.07611388774542074,-2.9999999999999942,327.46896955811,0.0,1476.6479214859608,0.0
 0.20912266362596574,2.1697399959448753,4.396736941825831,-148.6524400104075,0.05576194967111092,-3.000000000000004,933.8591307988428,0.0,3026.3888770240587,0.0
 0.21582317498873993,2.1695498542281957,4.396496819670594,-128.37408695173434,0.035660415582788346,-3.0,2359.1114286428538,0.0,5586.91965225216,0.0
 0.22265103351414414,2.1695488723428515,4.39624941390336,-90.22738997335611,0.03680966115414621,0.16831713297542703,2214.1019552748216,0.0,5404.141846535473,0.0
 0.22936844844152993,2.1697343270841345,4.395994853819017,-53.92552686372856,0.05696190593630353,2.9999999999999947,842.1999683003116,0.0,2758.3241584495563,0.0
 0.23611345361728422,2.170103495247337,4.395733268712454,-35.320616138578174,0.0771969214635664,2.999999999999996,304.82781088765296,0.0,1333.0135595589898,0.0
 0.24309608484574385,2.1706536536277516,4.3954647878785575,-26.012674029641442,0.09814481514894526,2.999999999999996,133.2853244597649,0.0,742.809333721696,0.0
 0.25024838414223244,2.1713820790206704,4.395189540612215,-20.699879354638608,0.11960171303841095,2.9999999999999925,68.38016592090463,0.0,465.895509602197,0.0
 0.2575050590649951,2.1722860482213853,4.394907656208314,-17.31902709348061,0.14137173780669884,2.9999999999999867,39.373321128349545,0.0,317.8331514260288,0.0
